PathID,PathString
1,S->D
2,S->e0->D
3,S->a1->e0->D
4,S->b1->e1->D
5,S->a1->b2->e3->D
6,S->a1->a2->e2->D
7,S->b1->b2->e3->D
8,S->b1->a2->e2->D
9,S->a1->b2->a3->e4->D
10,S->e0->t17->t18->e1->D
11,S->a1->a2->a3->e4->D
12,S->b1->a2->a1->e0->D
13,S->e0->t8->t7->e8->D
14,S->b1->b2->a3->e4->D
15,S->a1->a2->b3->e5->D
16,S->e0->a1->a2->e2->D
17,S->b1->b2->a1->e0->D
18,S->e0->a1->b2->e3->D
19,S->e0->t8->t9->e1->D
20,S->e0->t17->t16->e8->D
21,S->a1->b2->b1->e1->D
22,S->b1->a2->a3->e4->D
23,S->b1->a2->b3->e5->D
24,S->b1->b2->b3->e5->D
25,S->e0->b5->b6->e2->D
26,S->a1->b2->b3->e5->D
27,S->e0->b5->a6->e1->D
28,S->e0->b5->b4->e7->D
29,S->a1->a2->a3->b2->e3->D
30,S->e0->a1->a2->b1->e1->D
31,S->a1->e0->b5->b6->e2->D
32,S->a1->b2->b1->a2->e2->D
33,S->b1->e1->t18->t17->e0->D
34,S->e0->b5->a6->a7->e3->D
35,S->e0->a1->b2->b1->e1->D
36,S->a1->e0->b5->a4->e6->D
37,S->e0->t8->t7->t6->e7->D
38,S->a1->b2->a3->b4->e7->D
39,S->b1->b2->a1->a2->e2->D
40,S->b1->e1->t18->t19->e2->D
41,S->b1->a2->b3->b4->e7->D
42,S->b1->e1->t9->t8->e0->D
43,S->e0->b5->a4->a5->e8->D
44,S->b1->e1->t0->b9->e8->D
45,S->a1->a2->b3->b2->e3->D
46,S->e0->t8->t9->t10->e2->D
47,S->b1->e1->a6->b7->e4->D
48,S->b1->e1->t0->a9->e7->D
49,S->a1->e0->t8->t9->e1->D
50,S->e0->a1->b2->a3->e4->D
51,S->a1->b2->b3->b4->e7->D
52,S->a1->a2->b1->b2->e3->D
53,S->a1->e0->t8->t7->e8->D
54,S->b1->b2->b3->a4->e6->D
55,S->e0->t17->t18->t19->e2->D
56,S->a1->b2->a3->a4->e6->D
57,S->b1->b2->b3->b4->e7->D
58,S->e0->b5->a4->a3->e4->D
59,S->b1->b2->a3->a4->e6->D
60,S->a1->e0->t17->t16->e8->D
61,S->e0->b5->b6->a5->e8->D
62,S->e0->t17->t16->t15->e7->D
63,S->e0->b5->b4->a5->e8->D
64,S->a1->e0->t17->t18->e1->D
65,S->e0->b5->b6->a7->e3->D
66,S->e0->a1->a2->a3->e4->D
67,S->a1->a2->a3->b4->e7->D
68,S->a1->b2->b3->a4->e6->D
69,S->b1->a2->b3->b2->e3->D
70,S->a1->b2->b3->a2->e2->D
71,S->a1->a2->b3->b4->a3->e4->D
72,S->a1->e0->t17->t18->t19->e2->D
73,S->e0->a1->a2->b1->b2->e3->D
74,S->a1->e0->b5->a4->a5->e8->D
75,S->b1->b2->e3->t2->t1->e2->D
76,S->e0->b5->a4->a5->b4->e7->D
77,S->b1->a2->a3->b2->a1->e0->D
78,S->e0->b5->a6->a7->b6->e2->D
79,S->a1->b2->a3->a4->b5->e0->D
80,S->e0->t17->t16->t15->t14->e6->D
81,S->e0->b5->a6->a7->a8->e5->D
82,S->a1->a2->e2->b6->b7->e4->D
83,S->a1->a2->a3->b2->b3->e5->D
84,S->b1->b2->b3->b4->b5->e0->D
85,S->b1->b2->b3->a4->b5->e0->D
86,S->b1->b2->a3->a4->a5->e8->D
87,S->b1->e1->t0->a9->b8->e6->D
88,S->b1->b2->a1->a2->b3->e5->D
89,S->e0->a1->b2->b3->a2->e2->D
90,S->e0->a1->b2->a3->a4->e6->D
91,S->b1->e1->a6->b5->a4->e6->D
92,S->a1->a2->a3->a4->a5->e8->D
93,S->a1->a2->e2->b6->a5->e8->D
94,S->b1->e1->a6->a7->b8->e6->D
95,S->e0->b5->b4->a3->a4->e6->D
96,S->a1->a2->b3->a4->a5->e8->D
97,S->e0->t8->t9->t10->t11->e3->D
98,S->b1->a2->e2->t10->t11->e3->D
99,S->b1->e1->a6->b7->b6->e2->D
100,S->b1->b2->e3->a7->b8->e6->D
101,S->a1->b2->b3->a2->a3->e4->D
102,S->a1->e0->t8->t7->t6->e7->D
103,S->a1->b2->e3->a7->b8->e6->D
104,S->a1->e0->t8->t9->t10->e2->D
105,S->e0->t17->t18->t19->t20->e3->D
106,S->b1->b2->a3->a4->b5->e0->D
107,S->b1->a2->e2->t19->t20->e3->D
108,S->a1->b2->b1->a2->a3->e4->D
109,S->a1->a2->a3->b4->b3->e5->D
110,S->b1->a2->b3->b2->a3->e4->D
111,S->b1->a2->a1->b2->a3->e4->D
112,S->b1->e1->t18->t17->t16->e8->D
113,S->e0->a1->b2->a3->a2->b3->e5->D
114,S->e0->t8->t9->e1->b1->b2->e3->D
115,S->a1->b2->b1->a2->a3->a4->e6->D
116,S->b1->a2->b3->b4->a5->a6->e1->D
117,S->b1->b2->e3->t11->t10->t9->e1->D
118,S->e0->a1->b2->e3->t2->t3->e4->D
119,S->e0->t17->t18->e1->a6->b7->e4->D
120,S->e0->t8->t7->e8->t16->t15->e7->D
