PathID,PathString
1,S->a1->a2->b1->e1->D
2,S->e0->b5->a4->e6->D
3,S->b1->a2->a3->b2->e3->D
4,S->a1->a2->b3->b2->e3->D
5,S->a1->e0->b5->b4->e7->D
6,S->e0->b5->b6->a5->e8->D
7,S->e0->a1->a2->a3->b2->e3->D
8,S->a1->a2->b1->b2->a3->e4->D
9,S->e0->b5->a4->b3->b2->e3->D
10,S->e0->b5->a6->a7->a8->e5->D
11,S->b1->a2->a3->e4->b7->a6->e1->D
12,S->e0->t17->t16->e8->t7->t6->e7->D
13,S->a1->b2->e3->a7->a8->b9->e8->D
14,S->b1->b2->b3->a4->b5->b6->e2->D
15,S->e0->b5->b4->e7->t6->t5->t4->e5->D
16,S->b1->b2->a3->b4->a5->a6->b7->e4->D
17,S->b1->e1->t0->a9->e7->t6->t7->e8->D
18,S->e0->t8->t7->t6->e7->t15->t14->e6->D
19,S->e0->a1->b2->a3->a4->e6->t14->t13->e5->D
20,S->b1->b2->b3->a2->a3->e4->t3->t4->e5->D
21,S->a1->a2->b1->b2->b3->e5->t4->t5->e6->D
22,S->a1->a2->e2->t1->t2->e3->a7->a8->e5->D
23,S->e0->t8->t7->t6->t5->t4->e5->t13->t12->e4->D
24,S->a1->a2->b3->a4->a5->b6->a7->a6->b7->e4->D
25,S->a1->a2->b3->b4->a3->a4->e6->b8->b9->e8->D
26,S->a1->a2->e2->t19->t18->e1->b1->b2->b3->e5->D
27,S->e0->a1->b2->e3->t11->t10->e2->t1->t0->b9->e8->D
28,S->a1->a2->b1->e1->t18->t17->t16->t15->t14->t13->e5->D
29,S->a1->b2->b3->a4->e6->t5->t4->t3->t2->t1->e2->D
30,S->a1->e0->t8->t9->t10->t11->t12->t13->t14->t15->e7->D
31,S->b1->a2->a3->a4->e6->t14->t15->e7->a9->b8->a7->e3->D
32,S->e0->a1->b2->a3->e4->b7->a6->a7->b6->a5->b4->e7->D
33,S->b1->e1->t9->t10->e2->t1->t0->a9->b8->b9->a8->e5->D
34,S->b1->a2->a1->e0->t17->t16->t15->e7->t6->t5->t4->e5->D
35,S->e0->a1->b2->a3->a2->b1->e1->a6->b5->b4->a5->b6->e2->D
36,S->b1->a2->a3->b4->e7->t6->t5->e6->b8->a9->a8->a7->e3->D
37,S->a1->e0->t8->t9->t10->t11->e3->t2->t3->e4->b7->b8->e6->D
38,S->a1->e0->t17->t16->e8->b9->a8->a7->a6->a5->a4->a3->e4->D
39,S->a1->a2->b3->b4->a3->b2->e3->t2->t1->e2->t10->t11->t12->e4->D
40,S->b1->a2->a3->b4->a5->a6->e1->t18->t17->e0->b5->b6->b7->e4->D
41,S->b1->a2->b3->e5->t13->t14->e6->a4->a3->e4->t12->t11->t10->e2->D
42,S->e0->t17->t18->t19->t20->e3->t11->t10->e2->a2->a1->b2->a3->e4->D
43,S->b1->e1->t18->t19->t20->e3->a7->a6->b5->a4->e6->b8->b7->a8->e5->D
44,S->a1->a2->b3->b2->b1->e1->t18->t17->e0->t8->t7->e8->a5->b6->e2->D
45,S->a1->b2->b3->a4->b5->a6->b7->e4->t3->t4->e5->a8->b9->b8->e6->D
46,S->a1->b2->a3->e4->b7->b8->a9->t0->b9->e8->a5->b4->b3->a2->e2->D
47,S->a1->a2->e2->t1->t0->e1->t9->t8->e0->b5->a6->b7->a8->a7->b8->e6->D
48,S->a1->a2->b3->a4->a3->b2->b1->e1->t0->a9->b8->b7->e4->t12->t11->e3->D
49,S->e0->a1->a2->b3->e5->t4->t3->t2->t1->e2->t19->t20->e3->t11->t12->e4->D
50,S->b1->e1->t18->t17->t16->t15->e7->b4->a3->a4->b3->a2->e2->b6->a7->e3->D
51,S->e0->t17->t16->t15->t14->e6->t5->t4->e5->b3->a4->b5->b4->a5->a6->b7->e4->D
52,S->e0->a1->a2->a3->b2->b1->e1->a6->b5->b4->b3->e5->a8->a7->b6->a5->e8->D
53,S->a1->a2->e2->b6->a7->b8->a9->a8->e5->t4->t5->e6->a4->b5->a6->a5->e8->D
